,0
0,0.03553248941898346
1,0.03544046729803085
2,0.01730896160006523
3,0.01964684948325157
4,0.017926543951034546
5,0.015020608901977539
6,0.016275782138109207
7,0.01270592026412487
8,0.00973181240260601
9,0.009289547801017761
10,0.010288317687809467
11,0.009143568575382233
12,0.00872720591723919
13,0.00744146341457963
14,0.009149227291345596
15,0.0077216108329594135
16,0.006396913900971413
17,0.006169297732412815
18,0.005093064159154892
19,0.0051600998267531395
20,0.0058631133288145065
21,0.005218431353569031
22,0.004544059280306101
23,0.0059929643757641315
24,0.005337783135473728
25,0.004246674478054047
26,0.003102521412074566
27,0.004751876927912235
28,0.002399955876171589
29,0.0032141669653356075
30,0.0030271518044173717
31,0.003615919966250658
32,0.0027562729083001614
33,0.0023445487022399902
34,0.0020802472718060017
35,0.0023392520379275084
36,0.002035146113485098
37,0.001773131894879043
38,0.001764959772117436
39,0.0014854783657938242
40,0.0016310925129801035
41,0.0011941981501877308
42,0.0011646150378510356
43,0.0010739810531958938
44,0.0010813173139467835
45,0.0008907405426725745
46,0.0009705704869702458
47,0.0007983697578310966
48,0.0007967738201841712
49,0.0009092765976674855
50,0.0007816379657015204
51,0.0009107457008212805
52,0.0008788544801063836
53,0.0007069094572216272
54,0.000727976905182004
55,0.0006733087939210236
56,0.0006285285344347358
57,0.0006767467129975557
58,0.0005852016620337963
59,0.0006659795762971044
60,0.000511463382281363
61,0.0006673531606793404
62,0.0007614638307131827
63,0.0005251402035355568
64,0.0005168472416698933
65,0.0005405539413914084
66,0.0005438950029201806
67,0.000505889649502933
68,0.0005070196930319071
69,0.000455703615443781
70,0.00045708531979471445
71,0.0004200701368972659
72,0.0004668711917474866
73,0.00039354825275950134
74,0.00041316536953672767
75,0.0005271566333249211
76,0.00047105926205404103
77,0.0003946103388443589
78,0.0003649441641755402
79,0.0004935699980705976
80,0.0003688915749080479
81,0.0003492324613034725
82,0.00035504315746948123
83,0.0004319744766689837
84,0.00030040706042200327
85,0.000306584348436445
86,0.0004474465677049011
87,0.00032983242999762297
88,0.0002566096081864089
89,0.00020270940149202943
90,0.0002582515880931169
91,0.00018925726180896163
92,0.00021780301176477224
93,0.0002463051350787282
94,0.0003380939597263932
95,0.000315217359457165
96,0.00021719522192142904
97,0.00023632092052139342
98,0.0002610944793559611
99,0.00023916226928122342
100,0.00019417653675191104
101,0.00020479051454458386
102,0.0002496322267688811
103,0.0001984506961889565
104,0.00020631367806345224
105,0.000254795013461262
106,0.0003638425259850919
107,0.00022689239995088428
108,0.0001449288974981755
109,0.00018452544463798404
110,0.000147759317769669
111,0.00015123459161259234
112,0.00010973580356221646
113,0.00012523599434643984
114,0.00010748249769676477
115,0.00012621181667782366
116,0.00012142714695073664
117,0.00010454445146024227
118,0.00017202022718265653
119,0.0001289886567974463
120,8.702560444362462e-05
121,0.0001100569570553489
122,0.00012517166032921523
123,0.00011616253323154524
