,0
0,0.06989575922489166
1,0.036877091974020004
2,0.037006646394729614
3,0.01249744463711977
4,0.021159064024686813
5,0.019092785194516182
6,0.009451237507164478
7,0.012022087350487709
8,0.013456473127007484
9,0.01536201685667038
10,0.008893677964806557
11,0.00971713475883007
12,0.012607458047568798
13,0.011168153025209904
14,0.009033977054059505
15,0.007624142803251743
16,0.008677121251821518
17,0.008805623278021812
18,0.00717101339250803
19,0.006138925440609455
20,0.006762142293155193
21,0.007949886843562126
22,0.0055427346378564835
23,0.004614613950252533
24,0.005494529381394386
25,0.00521295377984643
26,0.003838938195258379
27,0.0034185354597866535
28,0.0034031053073704243
29,0.004601477179676294
30,0.0035487802233546972
31,0.003781647654250264
32,0.00372416153550148
33,0.0030447407625615597
34,0.002312576398253441
35,0.0032421229407191277
36,0.002503526397049427
37,0.001806919346563518
38,0.0028060106560587883
39,0.0030372319743037224
40,0.0019630345050245523
41,0.0021700558718293905
42,0.001654215157032013
43,0.0014876802451908588
44,0.0023692294489592314
45,0.0012168936664238572
46,0.0016999165527522564
47,0.0011637790594249964
48,0.0013902080245316029
49,0.0012331806356087327
50,0.0011292817071080208
51,0.0008829363505356014
52,0.0009803165448829532
53,0.0010206610895693302
54,0.0010047226678580046
55,0.000708918843884021
56,0.0008612510864622891
57,0.0008338848710991442
58,0.0006299526430666447
59,0.0005915326764807105
60,0.0005215929704718292
61,0.0006469500949606299
62,0.0004999970551580191
63,0.00042375404154881835
64,0.000426139566116035
65,0.00041806534864008427
66,0.0005550920614041388
67,0.0004646700690500438
68,0.0004069447750225663
69,0.0004148079897277057
70,0.0003939491871278733
71,0.00038146175211295485
72,0.0003287018043920398
73,0.0003964394854847342
74,0.00032420892966911197
75,0.00037902797339484096
76,0.00032627498148940504
77,0.0003101734910160303
78,0.0002602189779281616
79,0.00030923698795959353
80,0.0002456567599438131
81,0.0002688857784960419
82,0.00023843183589633554
83,0.00024909444618970156
84,0.00019453682762105018
85,0.00024196403683163226
86,0.00025633364566601813
87,0.00016248569590970874
88,0.0002966288011521101
89,0.00017592436051927507
90,0.0002140329743269831
91,0.00022896999143995345
92,0.0001616404770174995
93,0.0002080976264551282
94,0.00015534697740804404
95,0.00022434795391745865
96,0.00014944170834496617
97,0.0002061975101241842
98,0.00017513983766548336
99,0.00012958588195033371
100,0.0001479354250477627
101,0.00012777638039551675
102,0.0001137901926995255
103,0.00012066800991306081
104,0.00013339906581677496
105,9.647093247622252e-05
106,0.00017900140665005893
107,8.447826257906854e-05
108,0.00014719998580403626
109,0.00011539393744897097
110,0.000105352679383941
111,0.0001463662920286879
112,7.071960862958804e-05
113,0.0001109419681597501
114,7.311950321309268e-05
115,9.121178300119936e-05
116,8.47919363877736e-05
117,8.135024108923972e-05
118,8.403589890804142e-05
119,6.216907786438242e-05
120,9.162360947811976e-05
121,5.3279763960745186e-05
122,5.788959970232099e-05
123,6.176887109177187e-05
124,5.8252222515875474e-05
125,8.73159006005153e-05
126,5.8298064686823636e-05
127,7.473411096725613e-05
128,8.686290675541386e-05
129,3.843666854663752e-05
130,8.704960055183619e-05
131,6.658778147539124e-05
132,5.211186362430453e-05
133,7.033845031401142e-05
134,4.621515472535975e-05
135,5.932813655817881e-05
136,8.526687452103943e-05
137,5.36516890861094e-05
138,4.609123425325379e-05
139,6.941301398910582e-05
140,4.2666331864893436e-05
141,4.7669323976151645e-05
142,4.969105793861672e-05
143,3.9020556869218126e-05
